Station Name,Latitude,Longitude,Available Bikes,Empty Slots
10th & Cambie,49.262487,-123.114397,5,30
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1
Dunsmuir & Beatty,49.279764,-123.110154,4,22
12th & Yukon (City Hall),49.260599,-123.113504,4,12
8th & Ash,49.264215,-123.117772,5,11
Spyglass & Seawall,49.270877,-123.115103,6,8
Stamps Landing,49.26893,-123.11813,11,2
Ontario & Seawall,49.271721,-123.104207,19,0
Canada Place,49.287214,-123.11287,20,5
Granville & Georgia,49.282409,-123.118541,2,17
Pender & Burrard,49.287097,-123.118551,7,19
Marinaside & Davie,49.273471,-123.118016,17,5
Robson & Hornby,49.282758,-123.122092,2,26
Hornby & Pender,49.28602,-123.116624,0,22
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17
Beatty & Robson,49.277483,-123.114279,9,10
Beatty & Nelson,49.275679,-123.116963,7,7
Abbott & Cordova,49.282759,-123.106955,7,15
Comox & Denman,49.288444,-123.139203,10,8
Cordova & Bute,49.289124,-123.12196,7,7
Hornby & Nelson,49.28062,-123.12482,3,14
Helmcken & Burrard,49.279938,-123.127478,4,11
Pacific & Richards,49.273663,-123.127075,6,4
Chilco & Beach,49.28972,-123.144028,9,4
Comox & Broughton,49.285253,-123.134356,3,9
Bute & Comox,49.283343,-123.131099,12,10
Cambie & Water,49.284605,-123.108662,4,28
Keefer & Abbott,49.279821,-123.10802,24,3
Expo & Carrall,49.278004,-123.105664,10,6
Keefer & Columbia,49.279342,-123.101822,7,7
Marinaside & Cooperage,49.273833,-123.114373,17,8
Bidwell & Burnaby,49.28526,-123.141809,24,2
Robson & Granville,49.281506,-123.120101,3,26
Expo & Smithe,49.276115,-123.114496,14,0
Cypress & Cornwall,49.272827,-123.147744,9,13
Anderson & 2nd,49.269361,-123.13782,16,11
7th & Granville,49.2653,-123.13811,9,5
10th & Granville,49.262598,-123.138921,5,8
14th & Granville,49.25894,-123.139272,7,7
14th & Cambie,49.258763,-123.115392,1,12
Ontario & 5th,49.266724,-123.104824,0,20
10th & Main,49.262141,-123.101961,8,10
Cypress & 4th,49.268269,-123.147885,16,2
Vanier Park,49.275717,-123.142564,21,7
Nelson & Mainland,49.276436,-123.11877,3,17
Nelson & Richards,49.277844,-123.120942,2,16
7th & Heather,49.265089,-123.119425,11,6
Harwood & Bute,49.28026,-123.135244,11,9
Chilco & Barclay,49.291909,-123.140713,16,1
Chilco & Robson,49.293257,-123.138563,16,0
Nicola & Robson,49.288011,-123.132006,5,13
Carrall & Hastings,49.28117,-123.104419,16,2
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,3,25
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,15,1
Stanley Park - Second Beach North,49.29534,-123.150433,5,11
Stanley Park - Second Beach South,49.294318,-123.148808,2,15
Stanley Park - Totem Poles,49.298657,-123.121176,1,19
Heather & 14th,49.259183,-123.120126,4,13
8th & Ontario,49.263837,-123.105173,3,13
1st & Chestnut,49.270721,-123.146175,15,11
7th & Arbutus,49.265605,-123.152566,9,7
5th & Arbutus,49.267222,-123.153157,7,9
10th & Oak,49.262255,-123.126217,9,16
Arbutus & 16th,49.257654,-123.153212,10,30
Cypress & 14th,49.25919,-123.148268,2,10
Cypress & 16th,49.25741,-123.148531,2,9
Georgia & Thurlow,49.285953,-123.124066,10,2
Thurlow & Pendrell,49.280881,-123.130672,6,9
Heather & 16th,49.256845,-123.120071,6,5
14th & Ontario,49.25849,-123.104799,2,13
14th & Main,49.258425,-123.100792,1,12
David Lam Park - West,49.270905,-123.126006,8,10
Beach & Seymour,49.273568,-123.129935,10,7
Richards & Helmcken,49.277141,-123.122589,6,11
Burrard & 4th,49.267859,-123.145782,13,3
Burrard & 7th,49.265336,-123.145823,8,8
South False Creek Seawall,49.267628,-123.127698,9,5
Chestnut & McNicoll,49.275938,-123.145939,10,5
Creekside Park North,49.2756,-123.102661,15,3
Alexander & Main,49.284157,-123.099917,9,11
Arbutus Greenway & 14th,49.258924,-123.152591,10,9
Arbutus Greenway & Fir,49.266774,-123.141135,10,5
Kitsilano Beach Park,49.273355,-123.154493,15,21
Arbutus & McNicoll,49.276144,-123.151272,3,25
Vine & 4th,49.268339,-123.157443,8,9
Alexander & Dunlevy,49.284062,-123.095097,1,13
Alder & 11th,49.261742,-123.13148,7,4
10th & Columbia,49.262206,-123.109091,7,6
1st & Manitoba,49.27023,-123.10651,19,8
10th & Ontario,49.262062,-123.104656,9,10
Quebec & 1st,49.27033,-123.10275,11,7
Columbia & 14th,49.258902,-123.109596,2,12
