Station Name,Station Latitude,Station Longitude,Available Bikes,Empty Slots,Bubble Tea Shop Name,Rating,Business Latitude,Business Longitude
10th & Cambie,49.262487,-123.114397,5,30,Sharetea,4,49.2599346,-123.1148551
10th & Cambie,49.262487,-123.114397,5,30,Bubble Waffle Cafe,4,49.26086,-123.11629
10th & Cambie,49.262487,-123.114397,5,30,Hot Cha Cafe,4.5,49.2556974,-123.1149056
10th & Cambie,49.262487,-123.114397,5,30,OneZo Tapioca,4.5,49.2630371,-123.1180803
10th & Cambie,49.262487,-123.114397,5,30,Ben Gong’s Tea,3.5,49.25561,-123.1149094
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1,Cha Yuan,4.5,49.27402,-123.12243
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1,Sharetea Yaletown,5,49.27609728,-123.1192943
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1,Kurotaki Bubble Tea House,3,49.27464608,-123.1258495
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1,Jenjudan Yaletown,4,49.27833,-123.11621
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1,Gong Cha,3,49.2792027,-123.1167521
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1,Little Bee Bubble Tea,4.5,49.27960478,-123.1154158
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1,Gong cha,5,49.27905,-123.11695
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1,Teaspoons & Company,4.5,49.279506,-123.1243488
Yaletown-Roundhouse Station,49.274566,-123.121817,15,1,Yet’s Cafe,3.5,49.27771297,-123.1310082
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Charisma Cafe & Dessert House,4,49.28018,-123.10866
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Boba Run,4.5,49.2819027,-123.1074516
Dunsmuir & Beatty,49.279764,-123.110154,4,22,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Bubble King,3.5,49.28038956,-123.106067
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Gong Cha,4,49.2838435,-123.1133592
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Sharetea,4,49.2834699,-123.1144227
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Jenjudan Yaletown,4,49.27833,-123.11621
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Gong Cha,3,49.2792027,-123.1167521
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Little Bee Bubble Tea,4.5,49.27960478,-123.1154158
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Gong cha,5,49.27905,-123.11695
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Cha Yuan,4.5,49.27402,-123.12243
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Ikoi cha,2.5,49.27905,-123.11695
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Xing Fu Tang,3.5,49.2833513,-123.1163056
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Deer Alley Restaurant,4.5,49.28537,-123.11709
Dunsmuir & Beatty,49.279764,-123.110154,4,22,Presotea,3,49.28466148,-123.1162235
12th & Yukon (City Hall),49.260599,-123.113504,4,12,Sharetea,4,49.2599346,-123.1148551
12th & Yukon (City Hall),49.260599,-123.113504,4,12,Bubble Waffle Cafe,4,49.26086,-123.11629
12th & Yukon (City Hall),49.260599,-123.113504,4,12,Hot Cha Cafe,4.5,49.2556974,-123.1149056
12th & Yukon (City Hall),49.260599,-123.113504,4,12,OneZo Tapioca,4.5,49.2630371,-123.1180803
12th & Yukon (City Hall),49.260599,-123.113504,4,12,Ben Gong’s Tea,3.5,49.25561,-123.1149094
8th & Ash,49.264215,-123.117772,5,11,OneZo Tapioca,4.5,49.2630371,-123.1180803
8th & Ash,49.264215,-123.117772,5,11,Bubble Waffle Cafe,4,49.26086,-123.11629
8th & Ash,49.264215,-123.117772,5,11,Sharetea,4,49.2599346,-123.1148551
8th & Ash,49.264215,-123.117772,5,11,Hot Cha Cafe,4.5,49.2556974,-123.1149056
8th & Ash,49.264215,-123.117772,5,11,Ben Gong’s Tea,3.5,49.25561,-123.1149094
Ontario & Seawall,49.271721,-123.104207,19,0,The Bubble Tea Shop,3,49.27024655,-123.1063933
Canada Place,49.287214,-123.11287,20,5,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Canada Place,49.287214,-123.11287,20,5,Sharetea,4,49.2834699,-123.1144227
Canada Place,49.287214,-123.11287,20,5,Gong Cha,4,49.2838435,-123.1133592
Canada Place,49.287214,-123.11287,20,5,Boba Run,4.5,49.2819027,-123.1074516
Canada Place,49.287214,-123.11287,20,5,Xing Fu Tang,3.5,49.2833513,-123.1163056
Canada Place,49.287214,-123.11287,20,5,Chatime,1,49.287679,-123.115126
Canada Place,49.287214,-123.11287,20,5,Deer Alley Restaurant,4.5,49.28537,-123.11709
Canada Place,49.287214,-123.11287,20,5,Bubble Waffle Cafe,4.5,49.28531748,-123.1171067
Canada Place,49.287214,-123.11287,20,5,Presotea,3,49.28466148,-123.1162235
Canada Place,49.287214,-123.11287,20,5,Tiger Sugar,3,49.28398,-123.11347
Granville & Georgia,49.282409,-123.118541,2,17,Teaspoons & Company,4.5,49.279506,-123.1243488
Granville & Georgia,49.282409,-123.118541,2,17,The Alley,3.5,49.2808317,-123.1247428
Granville & Georgia,49.282409,-123.118541,2,17,Tea Drop Café,5,49.279501,-123.124057
Granville & Georgia,49.282409,-123.118541,2,17,Atelier by Chatime,3.5,49.28030775,-123.1184253
Granville & Georgia,49.282409,-123.118541,2,17,Yet’s Cafe,3.5,49.27771297,-123.1310082
Granville & Georgia,49.282409,-123.118541,2,17,Xing Fu Tang,3.5,49.2833513,-123.1163056
Granville & Georgia,49.282409,-123.118541,2,17,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Granville & Georgia,49.282409,-123.118541,2,17,Sharetea,4,49.2834699,-123.1144227
Granville & Georgia,49.282409,-123.118541,2,17,Deer Alley Restaurant,4.5,49.28537,-123.11709
Granville & Georgia,49.282409,-123.118541,2,17,Presotea,3,49.28466148,-123.1162235
Granville & Georgia,49.282409,-123.118541,2,17,Gong Cha,4,49.2838435,-123.1133592
Granville & Georgia,49.282409,-123.118541,2,17,Boba Run,4.5,49.2819027,-123.1074516
Granville & Georgia,49.282409,-123.118541,2,17,Gong Cha,3,49.2813094,-123.1201513
Pender & Burrard,49.287097,-123.118551,7,19,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Pender & Burrard,49.287097,-123.118551,7,19,Sharetea,4,49.2834699,-123.1144227
Pender & Burrard,49.287097,-123.118551,7,19,Gong Cha,4,49.2838435,-123.1133592
Pender & Burrard,49.287097,-123.118551,7,19,Boba Run,4.5,49.2819027,-123.1074516
Pender & Burrard,49.287097,-123.118551,7,19,Xing Fu Tang,3.5,49.2833513,-123.1163056
Pender & Burrard,49.287097,-123.118551,7,19,Deer Alley Restaurant,4.5,49.28537,-123.11709
Pender & Burrard,49.287097,-123.118551,7,19,Bubble Waffle Cafe,4.5,49.28531748,-123.1171067
Pender & Burrard,49.287097,-123.118551,7,19,Presotea,3,49.28466148,-123.1162235
Pender & Burrard,49.287097,-123.118551,7,19,Chatime,1,49.287679,-123.115126
Marinaside & Davie,49.273471,-123.118016,17,5,Cha Yuan,4.5,49.27402,-123.12243
Marinaside & Davie,49.273471,-123.118016,17,5,Sharetea Yaletown,5,49.27609728,-123.1192943
Marinaside & Davie,49.273471,-123.118016,17,5,Kurotaki Bubble Tea House,3,49.27464608,-123.1258495
Marinaside & Davie,49.273471,-123.118016,17,5,Teaspoons & Company,4.5,49.279506,-123.1243488
Marinaside & Davie,49.273471,-123.118016,17,5,Jenjudan Yaletown,4,49.27833,-123.11621
Marinaside & Davie,49.273471,-123.118016,17,5,Gong Cha,3,49.2792027,-123.1167521
Robson & Hornby,49.282758,-123.122092,2,26,Teaspoons & Company,4.5,49.279506,-123.1243488
Robson & Hornby,49.282758,-123.122092,2,26,The Alley,3.5,49.2808317,-123.1247428
Robson & Hornby,49.282758,-123.122092,2,26,Tea Drop Café,5,49.279501,-123.124057
Robson & Hornby,49.282758,-123.122092,2,26,Atelier by Chatime,3.5,49.28030775,-123.1184253
Robson & Hornby,49.282758,-123.122092,2,26,Yet’s Cafe,3.5,49.27771297,-123.1310082
Robson & Hornby,49.282758,-123.122092,2,26,Jenjudan,4.5,49.286041,-123.1273567
Robson & Hornby,49.282758,-123.122092,2,26,Machi Machi,4,49.28580788,-123.1267723
Robson & Hornby,49.282758,-123.122092,2,26,Bubble World,4,49.2874205,-123.128873
Robson & Hornby,49.282758,-123.122092,2,26,Blackball,4,49.28561,-123.12697
Robson & Hornby,49.282758,-123.122092,2,26,Happy Lemon,3.5,49.2856474,-123.1266978
Robson & Hornby,49.282758,-123.122092,2,26,Gong Cha,3,49.2813094,-123.1201513
Robson & Hornby,49.282758,-123.122092,2,26,Feng Cha,3.5,49.28561,-123.12697
Robson & Hornby,49.282758,-123.122092,2,26,Xing Fu Tang,3.5,49.2833513,-123.1163056
Robson & Hornby,49.282758,-123.122092,2,26,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Robson & Hornby,49.282758,-123.122092,2,26,Sharetea,4,49.2834699,-123.1144227
Robson & Hornby,49.282758,-123.122092,2,26,Deer Alley Restaurant,4.5,49.28537,-123.11709
Robson & Hornby,49.282758,-123.122092,2,26,Presotea,3,49.28466148,-123.1162235
Hornby & Pender,49.28602,-123.116624,0,22,Deer Alley Restaurant,4.5,49.28537,-123.11709
Hornby & Pender,49.28602,-123.116624,0,22,Bubble Waffle Cafe,4.5,49.28531748,-123.1171067
Hornby & Pender,49.28602,-123.116624,0,22,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Hornby & Pender,49.28602,-123.116624,0,22,Xing Fu Tang,3.5,49.2833513,-123.1163056
Hornby & Pender,49.28602,-123.116624,0,22,Presotea,3,49.28466148,-123.1162235
