Station Name,Bubble Tea Shop Name,Rating,Latitude,Longitude
10th & Cambie,OneZo Tapioca,N/A,N/A,N/A
Yaletown-Roundhouse Station,ShareTea Yaletown,N/A,N/A,N/A
Yaletown-Roundhouse Station,Chabann Kurotaki,N/A,N/A,N/A
Yaletown-Roundhouse Station,Cha Yuan,N/A,N/A,N/A
Dunsmuir & Beatty,Gong Cha,N/A,N/A,N/A
Dunsmuir & Beatty,Boba Run,N/A,N/A,N/A
Dunsmuir & Beatty,Little Bee Bubble Tea,N/A,N/A,N/A
Dunsmuir & Beatty,Jenjudan - Yaletown,N/A,N/A,N/A
Dunsmuir & Beatty,T Cafe,N/A,N/A,N/A
12th & Yukon (City Hall),OneZo Tapioca,N/A,N/A,N/A
8th & Ash,OneZo Tapioca,N/A,N/A,N/A
Ontario & Seawall,The Bubble Tea Shop,N/A,N/A,N/A
Canada Place,Coco Fresh Tea & Juice,N/A,N/A,N/A
Canada Place,Chatime,N/A,N/A,N/A
Canada Place,Chatime,N/A,N/A,N/A
Canada Place,QQ Gelato,N/A,N/A,N/A
Canada Place,Teaever Bubble Tea,N/A,N/A,N/A
Granville & Georgia,Coco Fresh Tea & Juice,N/A,N/A,N/A
Granville & Georgia,Gong Cha,N/A,N/A,N/A
Granville & Georgia,Infini Tea,N/A,N/A,N/A
Granville & Georgia,Xing Fu Tang,N/A,N/A,N/A
Granville & Georgia,Atealier by Chatime,N/A,N/A,N/A
Pender & Burrard,Coco Fresh Tea & Juice,N/A,N/A,N/A
Pender & Burrard,Chatime,N/A,N/A,N/A
Pender & Burrard,Chatime,N/A,N/A,N/A
Pender & Burrard,QQ Gelato,N/A,N/A,N/A
Pender & Burrard,Presotea,N/A,N/A,N/A
Marinaside & Davie,ShareTea Yaletown,N/A,N/A,N/A
Marinaside & Davie,Cha Yuan,N/A,N/A,N/A
Robson & Hornby,The Alley,N/A,N/A,N/A
Robson & Hornby,Atealier by Chatime,N/A,N/A,N/A
Robson & Hornby,Presotea,N/A,N/A,N/A
Robson & Hornby,Infini Tea,N/A,N/A,N/A
Robson & Hornby,Passion Tearoom,N/A,N/A,N/A
Hornby & Pender,Coco Fresh Tea & Juice,N/A,N/A,N/A
Hornby & Pender,Chatime,N/A,N/A,N/A
Hornby & Pender,Chatime,N/A,N/A,N/A
Hornby & Pender,Presotea,N/A,N/A,N/A
Hornby & Pender,Teaever Bubble Tea,N/A,N/A,N/A
Homer & Robson (Vancouver Public Library),Gong Cha,N/A,N/A,N/A
Homer & Robson (Vancouver Public Library),Little Bee Bubble Tea,N/A,N/A,N/A
Homer & Robson (Vancouver Public Library),Ikoi Cha,N/A,N/A,N/A
Homer & Robson (Vancouver Public Library),Jenjudan - Yaletown,N/A,N/A,N/A
Homer & Robson (Vancouver Public Library),Atealier by Chatime,N/A,N/A,N/A
Beatty & Robson,Gong Cha,N/A,N/A,N/A
Beatty & Robson,Jenjudan - Yaletown,N/A,N/A,N/A
Beatty & Robson,Little Bee Bubble Tea,N/A,N/A,N/A
Beatty & Robson,Ikoi Cha,N/A,N/A,N/A
Beatty & Robson,ShareTea Yaletown,N/A,N/A,N/A
Beatty & Nelson,Gong Cha,N/A,N/A,N/A
Beatty & Nelson,ShareTea Yaletown,N/A,N/A,N/A
Beatty & Nelson,Jenjudan - Yaletown,N/A,N/A,N/A
Beatty & Nelson,Ikoi Cha,N/A,N/A,N/A
Beatty & Nelson,Little Bee Bubble Tea,N/A,N/A,N/A
Abbott & Cordova,Boba Run,N/A,N/A,N/A
Abbott & Cordova,T Cafe,N/A,N/A,N/A
Abbott & Cordova,Gong Cha West Pender,N/A,N/A,N/A
Abbott & Cordova,Bubble King Tea House,N/A,N/A,N/A
Comox & Denman,The Bubble Tea Shop,N/A,N/A,N/A
Comox & Denman,TTOB Holdings Ltd,N/A,N/A,N/A
Comox & Denman,Weather Tea,N/A,N/A,N/A
Comox & Denman,Kumme Cafe,N/A,N/A,N/A
Cordova & Bute,45 Degree Bubble Tea House,N/A,N/A,N/A
Cordova & Bute,Truedan,N/A,N/A,N/A
Hornby & Nelson,The Alley,N/A,N/A,N/A
Hornby & Nelson,Passion Tearoom,N/A,N/A,N/A
Hornby & Nelson,Atealier by Chatime,N/A,N/A,N/A
Helmcken & Burrard,The Alley,N/A,N/A,N/A
Helmcken & Burrard,Passion Tearoom,N/A,N/A,N/A
Helmcken & Burrard,Yet’s Cafe,N/A,N/A,N/A
Pacific & Richards,Chabann Kurotaki,N/A,N/A,N/A
Pacific & Richards,Cha Yuan,N/A,N/A,N/A
Chilco & Beach,TTOB Holdings Ltd,N/A,N/A,N/A
Comox & Broughton,Chatime,N/A,N/A,N/A
Comox & Broughton,Kumme Cafe,N/A,N/A,N/A
Comox & Broughton,Milksha,N/A,N/A,N/A
Bute & Comox,Chatime,N/A,N/A,N/A
Bute & Comox,Machi Machi,N/A,N/A,N/A
Bute & Comox,Jenjudan,N/A,N/A,N/A
Bute & Comox,Truedan,N/A,N/A,N/A
Bute & Comox,Prime's Thai Tea,N/A,N/A,N/A
Cambie & Water,Coco Fresh Tea & Juice,N/A,N/A,N/A
Cambie & Water,Boba Run,N/A,N/A,N/A
Cambie & Water,T Cafe,N/A,N/A,N/A
Cambie & Water,Teaever Bubble Tea,N/A,N/A,N/A
Cambie & Water,Gong Cha West Pender,N/A,N/A,N/A
Keefer & Abbott,Boba Run,N/A,N/A,N/A
Keefer & Abbott,Bubble King Tea House,N/A,N/A,N/A
Expo & Carrall,Boba Run,N/A,N/A,N/A
Expo & Carrall,Bubble King Tea House,N/A,N/A,N/A
Keefer & Columbia,Bubble King Tea House,N/A,N/A,N/A
Marinaside & Cooperage,ShareTea Yaletown,N/A,N/A,N/A
Bidwell & Burnaby,TTOB Holdings Ltd,N/A,N/A,N/A
Robson & Granville,The Alley,N/A,N/A,N/A
Robson & Granville,Gong Cha,N/A,N/A,N/A
Robson & Granville,Atealier by Chatime,N/A,N/A,N/A
Robson & Granville,Infini Tea,N/A,N/A,N/A
Robson & Granville,Ikoi Cha,N/A,N/A,N/A
Expo & Smithe,Gong Cha,N/A,N/A,N/A
Expo & Smithe,Jenjudan - Yaletown,N/A,N/A,N/A
